CustomerID,recency,frequency,monetary,r_score,f_score,m_score,rfm_score,rfm_total,log_frequency,log_monetary,cluster,segment
12346,326,12,77556.46,2,5,5,255,12,2.5649493574615367,11.258774359980725,2,Champions
12608,405,1,415.79,2,1,2,212,5,0.6931471805599453,6.03258249782888,3,Lost
12745,487,2,723.85,1,2,3,123,6,1.0986122886681098,6.585964736896907,1,At-Risk
12746,541,1,254.55,1,1,1,111,3,0.6931471805599453,5.543418085214289,3,Lost
12747,2,26,9276.54,5,5,5,555,15,3.295836866004329,9.135351704431791,2,Champions
12748,1,323,52581.8,5,5,5,555,15,5.780743515792329,10.870144349053168,2,Champions
12749,4,9,6847.36,5,5,5,555,15,2.302585092994046,8.831764486533277,2,Champions
12777,458,1,519.45,1,1,2,112,4,0.6931471805599453,6.254693821961477,3,Lost
12819,458,1,540.52,1,1,2,112,4,0.6931471805599453,6.294380000200352,3,Lost
12820,3,11,2689.52,5,5,4,554,14,2.4849066497880004,7.897489762464381,4,Loyal
12821,214,2,220.8,2,2,1,221,5,1.0986122886681098,5.401776074916267,0,New Customers
12822,71,2,948.88,3,2,3,323,8,1.0986122886681098,6.856335660826602,0,New Customers
12823,75,18,6501.5,3,5,5,355,13,2.9444389791664403,8.779941997322807,2,Champions
12824,60,1,397.12,3,1,2,312,6,0.6931471805599453,5.986753467377863,0,New Customers
12825,521,2,518.63,1,2,2,122,5,1.0986122886681098,6.253117019850299,3,Lost
12826,3,12,2955.75,5,5,5,555,15,2.5649493574615367,7.991845971131227,2,Champions
12827,6,3,430.15,5,3,2,532,10,1.3862943611198906,6.066456057398334,0,New Customers
12828,3,6,1018.71,5,4,3,543,12,1.9459101490553132,6.927273552128017,4,Loyal
12829,337,3,385.3,2,3,2,232,7,1.3862943611198906,5.956614269672236,1,At-Risk
12830,38,6,6814.64,4,4,5,445,13,1.9459101490553132,8.826975250212882,4,Loyal
12831,262,3,451.11,2,3,2,232,7,1.3862943611198906,6.113925513056159,1,At-Risk
12832,32,2,383.03,4,2,2,422,8,1.0986122886681098,5.950720674536128,0,New Customers
12833,145,1,417.38,3,1,2,312,6,0.6931471805599453,6.0363901104609745,0,New Customers
12834,283,1,312.38,2,1,2,212,5,0.6931471805599453,5.7474165116762626,0,New Customers
12835,428,41,6043.31,1,5,5,155,11,3.7376696182833684,8.706872612613385,2,Champions
12836,59,15,6585.62,4,5,5,455,14,2.772588722239781,8.792795597588407,2,Champions
12837,173,2,688.41,3,2,3,323,8,1.0986122886681098,6.535836159344549,0,New Customers
12838,34,10,3398.48,4,5,5,455,14,2.3978952727983707,8.131377757731087,4,Loyal
12839,3,26,10071.73,5,5,5,555,15,3.295836866004329,9.217587051255036,2,Champions
12840,144,7,4041.97,3,4,5,345,12,2.0794415416798357,8.30473484938074,4,Loyal
12841,5,40,7540.68,5,5,5,555,15,3.713572066704308,8.928200247854255,2,Champions
12842,70,4,1917.99,3,3,4,334,10,1.6094379124341003,7.559554284946702,4,Loyal
12843,66,28,6466.92,3,5,5,355,13,3.367295829986474,8.77460985203671,2,Champions
12844,29,4,648.6,4,3,3,433,10,1.6094379124341003,6.476356788847468,4,Loyal
12845,267,4,354.09000000000003,2,3,2,232,7,1.6094379124341003,5.872371278471126,1,At-Risk
12846,682,1,15.58,1,1,1,111,3,0.6931471805599453,2.8081971497071487,3,Lost
12847,22,2,1636.9,4,2,4,424,10,1.0986122886681098,7.401170212488334,4,Loyal
12848,676,1,208.0,1,1,1,111,3,0.6931471805599453,5.342334251964811,3,Lost
12849,31,6,3064.07,4,4,5,445,13,1.9459101490553132,8.027825686608702,4,Loyal
12850,446,1,330.0,1,1,2,112,4,0.6931471805599453,5.802118375377063,3,Lost
12851,97,2,284.13,3,2,2,322,7,1.0986122886681098,5.652945216619142,0,New Customers
12852,295,1,311.55,2,1,2,212,5,0.6931471805599453,5.744764456377822,0,New Customers
12853,135,11,3907.5,3,5,5,355,13,2.4849066497880004,8.270908947660384,2,Champions
12854,79,7,2994.02,3,4,5,345,12,2.0794415416798357,8.004706188323581,4,Loyal
12855,373,4,650.94,2,3,3,233,8,1.6094379124341003,6.479952533152258,1,At-Risk
12856,8,6,2179.93,5,4,4,544,13,1.9459101490553132,7.687506670317465,4,Loyal
12857,211,6,3688.0,2,4,5,245,11,1.9459101490553132,8.213110697596676,4,Loyal
12858,383,1,177.92,2,1,1,211,4,0.6931471805599453,5.186938778564647,3,Lost
12859,459,1,575.1,1,1,2,112,4,0.6931471805599453,6.356281256738337,3,Lost
12860,693,1,55.47,1,1,1,111,3,0.6931471805599453,4.033709523684745,3,Lost
12861,620,1,68.25,1,1,1,111,3,0.6931471805599453,4.237723145067448,3,Lost
12862,426,2,1008.32,1,2,3,123,6,1.0986122886681098,6.917032115762346,1,At-Risk
12863,52,6,2792.55,4,4,4,444,12,1.9459101490553132,7.935068467432419,4,Loyal
12864,138,2,299.57,3,2,2,322,7,1.0986122886681098,5.705680671939281,0,New Customers
12867,26,13,7913.29,4,5,5,455,14,2.6390573296152584,8.976425265196161,2,Champions
12868,186,8,2247.06,3,4,4,344,11,2.1972245773362196,7.717822901048859,4,Loyal
12869,682,1,337.67,1,1,2,112,4,0.6931471805599453,5.825026181941565,3,Lost
12870,375,3,1676.95,2,3,4,234,9,1.3862943611198906,7.42532808920537,1,At-Risk
12871,84,3,744.02,3,3,3,333,9,1.3862943611198906,6.613411063656805,0,New Customers
12872,327,12,3685.49,2,5,5,255,12,2.5649493574615367,8.212430064825998,2,Champions
12873,282,3,2027.3,2,3,4,234,9,1.3862943611198906,7.614953282764742,1,At-Risk
12875,143,5,1356.9900000000002,3,4,4,344,11,1.791759469228055,7.213760944321279,4,Loyal
12877,4,20,2955.17,5,5,5,555,15,3.044522437723423,7.991649790563297,2,Champions
12878,236,2,854.99,2,2,3,223,7,1.0986122886681098,6.752258693830513,1,At-Risk
12879,45,3,573.22,4,3,2,432,9,1.3862943611198906,6.353012598149689,0,New Customers
12880,382,2,640.13,2,2,3,223,7,1.0986122886681098,6.463232244470209,1,At-Risk
12881,276,1,298.0,2,1,2,212,5,0.6931471805599453,5.700443573390687,0,New Customers
12882,9,2,1463.04,5,2,4,524,11,1.0986122886681098,7.288955016552379,4,Loyal
12883,25,4,703.47,4,3,3,433,10,1.6094379124341003,6.5574457470395595,4,Loyal
12884,88,1,309.05,3,1,2,312,6,0.6931471805599453,5.736733574795887,0,New Customers
12885,63,3,1175.22,3,3,3,333,9,1.3862943611198906,7.0700611857921905,4,Loyal
12886,68,2,1378.4,3,2,4,324,9,1.0986122886681098,7.229403900997191,4,Loyal
12887,384,1,222.4,2,1,1,211,4,0.6931471805599453,5.4089638866351,3,Lost
12888,214,2,354.12,2,2,2,222,6,1.0986122886681098,5.87245576052578,0,New Customers
12889,381,4,385.46,2,3,2,232,7,1.6094379124341003,5.957028369786855,1,At-Risk
12890,24,2,717.27,4,2,3,423,9,1.0986122886681098,6.576845542929431,0,New Customers
12891,186,11,840.5,3,5,3,353,11,2.4849066497880004,6.735186013630861,4,Loyal
12892,397,1,263.38,2,1,1,211,4,0.6931471805599453,5.577387462151254,3,Lost
12893,31,1,188.14,4,1,1,411,6,0.6931471805599453,5.242487481587366,0,New Customers
12894,575,1,157.35,1,1,1,111,3,0.6931471805599453,5.064807772984649,3,Lost
12895,42,2,372.8,4,2,2,422,8,1.0986122886681098,5.923720895021463,0,New Customers
12897,205,4,514.25,2,3,2,232,7,1.6094379124341003,6.244652219770568,0,New Customers
12898,464,2,310.96,1,2,2,122,5,1.0986122886681098,5.742874974462297,3,Lost
12899,414,1,366.4,1,1,2,112,4,0.6931471805599453,5.906451172781026,3,Lost
12900,422,1,340.33000000000004,1,1,2,112,4,0.6931471805599453,5.832849751258659,3,Lost
12901,9,28,17654.54,5,5,5,555,15,3.367295829986474,9.778804894130932,2,Champions
12902,265,1,138.68,2,1,1,211,4,0.6931471805599453,4.939354092091292,0,New Customers
12903,429,1,833.5300000000001,1,1,3,113,5,0.6931471805599453,6.726868692126177,1,At-Risk
12904,18,2,509.58,5,2,2,522,9,1.0986122886681098,6.235547334435847,0,New Customers
